,Home,Price,SqFt,Bedrooms,Bathrooms,Offers,Number_Rooms,Brick_No,Brick_Yes,Neighborhood_East,Neighborhood_North,Neighborhood_West
0,1,114300,1790,2,2,2,4,1,0,1,0,0
1,2,114200,2030,4,2,3,6,1,0,1,0,0
2,3,114800,1740,3,2,1,5,1,0,1,0,0
3,4,94700,1980,3,2,3,5,1,0,1,0,0
4,5,119800,2130,3,3,3,6,1,0,1,0,0
5,6,114600,1780,3,2,2,5,1,0,0,1,0
6,7,151600,1830,3,3,3,6,0,1,0,0,1
7,8,150700,2160,4,2,2,6,1,0,0,0,1
8,9,119200,2110,4,2,3,6,1,0,1,0,0
9,10,104000,1730,3,3,3,6,1,0,1,0,0
10,11,132500,2030,3,2,3,5,0,1,1,0,0
11,12,123000,1870,2,2,2,4,0,1,1,0,0
12,13,102600,1910,3,2,4,5,1,0,0,1,0
13,14,126300,2150,3,3,5,6,0,1,0,1,0
14,15,176800,2590,4,3,4,7,1,0,0,0,1
15,16,145800,1780,4,2,1,6,1,0,0,0,1
16,17,147100,2190,3,3,4,6,0,1,1,0,0
17,18,83600,1990,3,3,4,6,1,0,0,1,0
18,19,111400,1700,2,2,1,4,0,1,1,0,0
19,20,167200,1920,3,3,2,6,0,1,0,0,1
20,21,116200,1790,3,2,3,5,1,0,1,0,0
21,22,113800,2000,3,2,4,5,1,0,0,1,0
22,23,91700,1690,3,2,3,5,1,0,0,1,0
23,24,106100,1820,3,2,3,5,0,1,0,1,0
24,25,156400,2210,4,3,2,7,0,1,1,0,0
25,26,149300,2290,4,3,3,7,1,0,0,1,0
26,27,137000,2000,4,2,3,6,1,0,0,0,1
27,28,99300,1700,3,2,2,5,1,0,1,0,0
28,29,69100,1600,2,2,3,4,1,0,0,1,0
29,30,188000,2040,4,3,1,7,0,1,0,0,1
30,31,182000,2250,4,3,3,7,0,1,0,0,1
31,32,112300,1930,2,2,2,4,0,1,0,1,0
32,33,135000,2250,3,3,3,6,0,1,1,0,0
33,34,139600,2280,5,3,4,8,0,1,1,0,0
34,35,117800,2000,2,2,3,4,1,0,0,1,0
35,36,117100,2080,3,3,3,6,1,0,0,1,0
36,37,117500,1880,2,2,2,4,1,0,0,1,0
37,38,147000,2420,4,3,4,7,1,0,0,0,1
38,39,131300,1720,3,2,1,5,1,0,0,0,1
39,40,108200,1740,3,2,2,5,1,0,0,1,0
40,41,106600,1560,2,2,1,4,1,0,1,0,0
41,42,133600,1840,4,3,2,7,1,0,0,0,1
42,43,105600,1990,2,2,3,4,1,0,1,0,0
43,44,154000,1920,3,2,1,5,0,1,1,0,0
44,45,166500,1940,3,3,2,6,0,1,0,0,1
45,46,103200,1810,3,2,3,5,1,0,1,0,0
46,47,129800,1990,2,3,2,5,1,0,0,1,0
47,48,90300,2050,3,2,6,5,1,0,0,1,0
48,49,115900,1980,2,2,2,4,1,0,1,0,0
49,50,107500,1700,3,2,3,5,0,1,0,1,0
50,51,151100,2100,3,2,3,5,0,1,1,0,0
51,52,91100,1860,2,2,3,4,1,0,0,1,0
52,53,117400,2150,2,3,4,5,1,0,0,1,0
53,54,130800,2100,3,2,3,5,1,0,0,1,0
54,55,81300,1650,3,2,3,5,1,0,0,1,0
55,56,125700,1720,2,2,2,4,0,1,1,0,0
56,57,140900,2190,3,2,3,5,0,1,1,0,0
57,58,152300,2240,4,3,3,7,1,0,0,0,1
58,59,138100,1840,3,3,1,6,1,0,0,0,1
59,60,155400,2090,4,2,1,6,1,0,0,0,1
60,61,180900,2200,3,3,1,6,1,0,0,0,1
61,62,100900,1610,2,2,2,4,1,0,0,1,0
62,63,161300,2220,4,3,2,7,1,0,0,0,1
63,64,120500,1910,2,3,2,5,1,0,1,0,0
64,65,130300,1860,3,2,2,5,1,0,0,0,1
65,66,111100,1450,2,2,1,4,0,1,0,1,0
66,67,126200,2210,3,3,4,6,1,0,0,1,0
67,68,151900,2040,4,3,3,7,1,0,1,0,0
68,69,93600,2140,3,2,4,5,1,0,0,1,0
69,70,165600,2080,4,3,3,7,1,0,0,0,1
70,71,166700,1950,3,3,3,6,0,1,0,0,1
71,72,157600,2160,4,2,1,6,1,0,0,0,1
72,73,107300,1650,3,2,3,5,1,0,0,1,0
73,74,125700,2040,3,3,2,6,1,0,1,0,0
74,75,144200,2140,3,3,3,6,1,0,0,0,1
75,76,106900,1900,2,2,2,4,1,0,0,1,0
76,77,129800,1930,3,2,2,5,1,0,0,0,1
77,78,176500,2280,4,3,3,7,0,1,0,0,1
78,79,121300,2130,3,2,3,5,1,0,0,1,0
79,80,143600,1780,4,2,1,6,1,0,0,0,1
80,81,143400,2190,3,3,4,6,0,1,1,0,0
81,82,184300,2140,4,3,2,7,0,1,0,0,1
82,83,164800,2050,2,2,1,4,0,1,0,0,1
83,84,147700,2410,3,3,2,6,1,0,1,0,0
84,85,90500,1520,2,2,3,4,1,0,0,1,0
85,86,188300,2250,4,3,2,7,0,1,0,0,1
86,87,102700,1900,4,2,4,6,1,0,0,1,0
87,88,172500,1880,3,3,1,6,0,1,0,0,1
88,89,127700,1930,3,3,2,6,1,0,0,1,0
89,90,97800,2010,2,2,4,4,1,0,0,1,0
90,91,143100,1920,4,2,2,6,1,0,0,0,1
91,92,116500,2150,3,2,2,5,1,0,1,0,0
92,93,142600,2110,3,2,2,5,1,0,0,0,1
93,94,157100,2080,3,3,2,6,1,0,1,0,0
94,95,160600,2150,4,3,3,7,0,1,0,0,1
95,96,152500,1970,2,2,1,4,0,1,0,0,1
96,97,133300,2440,3,3,3,6,1,0,1,0,0
97,98,126800,2000,2,2,1,4,0,1,1,0,0
98,99,145500,2060,3,2,1,5,1,0,0,0,1
99,100,171000,2080,3,3,2,6,0,1,0,0,1
100,101,103200,2010,3,2,5,5,1,0,0,1,0
101,102,123100,2260,3,3,5,6,1,0,1,0,0
102,103,136800,2410,3,3,4,6,1,0,1,0,0
103,104,211200,2440,4,3,3,7,0,1,0,0,1
104,105,82300,1910,3,2,4,5,1,0,1,0,0
105,106,146900,2530,4,3,4,7,1,0,0,0,1
106,107,108500,2130,3,2,4,5,1,0,0,1,0
107,108,134000,1890,3,2,1,5,0,1,1,0,0
108,109,117000,1990,3,3,3,6,0,1,1,0,0
109,110,108700,2110,3,2,3,5,1,0,1,0,0
110,111,111600,1710,2,2,1,4,1,0,0,1,0
111,112,114900,1740,2,2,2,4,1,0,0,1,0
112,113,123600,1940,2,2,2,4,0,1,1,0,0
113,114,115700,2000,3,2,3,5,0,1,0,1,0
114,115,124500,2010,4,3,2,7,1,0,1,0,0
115,116,102500,1900,3,3,3,6,1,0,0,1,0
116,117,199500,2290,5,4,1,9,0,1,0,0,1
117,118,117800,1920,3,2,2,5,1,0,0,1,0
118,119,150200,1950,3,2,3,5,0,1,0,1,0
119,120,109700,1920,2,2,4,4,1,0,0,1,0
120,121,110400,1930,2,3,3,5,1,0,0,1,0
121,122,105600,1930,3,3,3,6,1,0,1,0,0
122,123,144800,2060,2,2,1,4,0,1,1,0,0
123,124,119700,1900,3,3,3,6,0,1,1,0,0
124,125,147900,2160,4,3,3,7,0,1,1,0,0
125,126,113500,2070,2,2,2,4,1,0,0,1,0
126,127,149900,2020,3,3,1,6,1,0,0,0,1
127,128,124600,2250,3,3,4,6,1,0,0,1,0
